segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,29662,1258,603.3022112023101,756.7217551274434,,,,,,,-1,0
1,30092,10217,1253.6230332270216,2463.2420462586597,,,,,,,-1,0
2,30594,1315,131.51278873004324,712.8121447230267,,,,,,,1,0
3,36256,8837,472.3992291813936,499.56363430126993,,,,,,,1,0
4,36263,12632,349.74056581217775,2034.2163502494238,,,,,,,-1,0
5,36263,12632,2034.2163502494238,5975.508972650708,,,,,,,0,0
6,36264,15568,3941.2926224012826,5625.768406838529,,,,,,,-1,0
7,36264,15568,5625.768406838529,5975.508972650707,,,,,,,0,0
8,37289,10088,67.45392379744712,653.9185580878307,,,,,,,-1,0
9,37302,10141,64.38388194354525,118.06796014168776,,,,,,,-1,0
10,37302,10141,118.06796014168776,187.08088937042874,,,,,,,-2,0
11,37310,12000,791.5326067693967,911.0664064370792,,,,,,,1,0
12,37313,1159,553.6622435176281,796.9171331029025,,,,,,,-1,0
13,37313,1159,796.9171331029025,1289.2217479923138,,,,,,,2,0
14,37313,1159,1289.2217479923138,1496.8461124503035,,,,,,,-1,0
15,37339,10191,785.6936059055045,798.1692213471604,,,,,,,1,0
16,37351,11958,44.19105973515035,7722.3471713499475,,,,,,,-1,0
17,37357,5895,359.8671091031601,926.7817369698162,,,,,,,1,0
18,37401,10380,687.316906805349,937.3284501691192,,,,,,,-3,0
19,37401,10380,937.3284501691192,1493.256483952838,,,,,,,-2,0
20,37470,19908,635.9249663844303,676.9127434046057,,,,,,,-1,0
21,37669,4746,472.02303865138344,861.056729038183,,,,,,,-1,0
22,37892,10741,110.17366059660955,712.1122667352427,,,,,,,-1,0
23,38036,19907,718.6961712354413,3069.885162916797,,,,,,,-1,0
24,38134,10185,466.7696300434912,2515.066361531566,,,,,,,1,0
25,38134,10185,2515.066361531566,2756.869088089379,,,,,,,0,0
26,38134,10185,2756.869088089379,4456.7227229863365,,,,,,,1,0
27,38136,10173,1698.8177431951606,3127.4989941047597,,,,,,,-1,0
28,38136,10173,3127.4989941047597,4459.559783279587,,,,,,,0,0
29,38702,8,1030.5735138582058,6711.963561198113,,,,,,,1,0
30,38877,2839,336.0244630315501,10719.212338021847,,,,,,,1,0
31,38879,8169,10694.841326984148,10792.869158522852,,,,,,,-1,0
32,39075,12359,359.9551863751933,1454.5802972735225,,,,,,,1,0
33,39076,1997,1094.6251108983292,1454.5802972735225,,,,,,,-1,0
34,42052,15453,2138.0908055423556,3389.993317564272,,,,,,,1,0
35,42174,780,2086.645782028773,6153.552239343383,,,,,,,-1,0
36,42177,15599,4068.1379013900246,6150.118447605713,,,,,,,1,0
37,42688,12456,7135.141511913591,13096.028348828448,,,,,,,1,0
38,42689,9183,5960.886836914855,13096.028348828448,,,,,,,-1,0
39,44049,2694,64.8667660116185,24442.548054237974,,,,,,,-1,0
